,datetime,ema,sma,rsi,close
619,2021-01-04,220.95843,222.35556,48.80842,217.69
618,2021-01-05,220.34674,221.83444,49.19454,217.89999
617,2021-01-06,218.72739,220.53555,40.37121,212.25
616,2021-01-07,218.63991,220.23222,50.57644,218.28999
615,2021-01-08,218.83593,219.88444,52.50407,219.62
614,2021-01-11,218.56674,219.05444,49.1949,217.49001
613,2021-01-12,217.83939,218.03,45.48435,214.92999
612,2021-01-13,217.53951,217.43666,47.81885,216.34
611,2021-01-14,216.63561,216.39222,43.13499,213.02
610,2021-01-15,215.83849,215.83222,42.63378,212.64999
609,2021-01-19,215.95879,215.67,49.15129,216.44
608,2021-01-20,217.63503,217.01333,59.48417,224.34
607,2021-01-21,219.10203,217.75555,60.17912,224.97
606,2021-01-22,220.47162,218.45889,61.29137,225.95
605,2021-01-25,222.2833,219.79666,65.12372,229.53
604,2021-01-26,224.29264,221.73,67.80822,232.33
603,2021-01-27,226.01411,223.57,68.34242,232.89999
602,2021-01-28,228.59729,226.44889,73.3759,238.92999
601,2021-01-29,229.26983,228.59444,61.25275,231.96001
600,2021-02-01,231.34586,231.17333,67.611,239.64999
599,2021-02-02,232.97869,232.85889,67.39418,239.50999
598,2021-02-03,234.98295,234.86222,69.97882,243.0
597,2021-02-04,236.38836,236.64666,68.32428,242.00999
596,2021-02-05,237.55069,238.05444,68.47832,242.2
595,2021-02-08,238.53455,239.18111,68.71117,242.47
594,2021-02-09,239.58164,240.38889,69.86542,243.77
593,2021-02-10,240.22931,240.82111,67.89434,242.82001
592,2021-02-11,241.08145,242.21333,69.52215,244.49001
591,2021-02-12,241.86316,242.80667,70.01239,244.99001
590,2021-02-16,242.23053,243.27222,67.01727,243.7
589,2021-02-17,242.62442,243.40556,67.5959,244.2
588,2021-02-18,242.85754,243.60333,66.56466,243.78999
587,2021-02-19,242.48003,243.46667,59.80643,240.97
586,2021-02-22,240.88602,242.58222,47.82709,234.50999
585,2021-02-23,239.36282,241.41556,45.92553,233.27
584,2021-02-24,238.40026,240.49667,48.2144,234.55
583,2021-02-25,236.51821,238.77444,40.24555,228.99001
582,2021-02-26,235.69057,237.37333,46.09552,232.38
581,2021-03-01,235.94045,236.62222,52.79067,236.94
580,2021-03-02,235.52636,235.47444,48.42948,233.87
579,2021-03-03,233.93309,233.67111,40.94265,227.56
578,2021-03-04,232.49247,232.08889,40.06526,226.73
577,2021-03-05,232.31398,231.76556,47.21313,231.60001
576,2021-03-08,231.32918,231.11222,42.49496,227.39
575,2021-03-09,231.81935,231.02667,50.56934,233.78
574,2021-03-10,231.93948,231.40778,48.99262,232.42
573,2021-03-11,232.97758,231.93556,54.30627,237.13
572,2021-03-12,233.53207,231.80333,52.57801,235.75
571,2021-03-15,233.78765,231.90778,51.37859,234.81
570,2021-03-16,234.57212,233.03556,54.80409,237.71001
569,2021-03-17,235.0657,234.18111,53.85996,237.03999
568,2021-03-18,234.19656,234.08333,45.8383,230.72
567,2021-03-19,233.42725,234.41222,45.41189,230.35001
566,2021-03-22,233.9398,234.65778,52.64372,235.99001
565,2021-03-23,234.66784,235.23111,54.47479,237.58
564,2021-03-24,234.82627,235.04556,51.60943,235.46001
563,2021-03-25,234.32902,234.66667,47.63803,232.34
562,2021-03-26,234.75921,234.85222,52.82545,236.48
561,2021-03-29,234.85537,234.57778,51.18968,235.24001
560,2021-03-30,234.2543,234.00111,46.91274,231.85001
559,2021-03-31,234.55744,234.56223,51.91568,235.77
558,2021-04-01,236.11595,235.89556,58.91483,242.35001
557,2021-04-05,238.70676,237.34889,64.58456,249.07001
556,2021-04-06,240.53741,238.49111,62.90134,247.86
555,2021-04-07,242.40993,240.09556,64.57751,249.89999
554,2021-04-08,244.57794,242.41889,67.19843,253.25
553,2021-04-09,246.83235,244.57111,69.10883,255.85001
552,2021-04-12,248.64788,246.86778,69.15347,255.91
551,2021-04-13,250.61631,249.82778,71.08848,258.48999
550,2021-04-14,251.61104,252.03,66.07136,255.59
549,2021-04-15,253.18884,253.93556,69.22504,259.5
548,2021-04-16,254.69907,255.23222,70.17194,260.73999
547,2021-04-19,255.50725,256.44111,66.61191,258.73999
546,2021-04-20,256.0578,257.37,65.7498,258.26001
545,2021-04-21,256.96224,258.18444,67.91155,260.57999
544,2021-04-22,257.00379,258.33111,61.74303,257.17001
543,2021-04-23,257.83303,258.91333,65.66325,261.14999
542,2021-04-26,258.57642,259.25333,66.03989,261.54999
541,2021-04-27,259.25514,259.96222,66.45597,261.97
540,2021-04-28,258.31611,259.41333,53.90735,254.56
539,2021-04-29,257.15489,258.49889,51.03617,252.50999
538,2021-04-30,256.15991,257.77,50.56924,252.17999
537,2021-05-03,255.29993,257.05889,50.09069,251.86
536,2021-05-04,253.79794,255.63777,44.34278,247.78999
535,2021-05-05,252.33235,254.44888,42.63407,246.47
534,2021-05-06,251.81188,253.18,47.96689,249.73
533,2021-05-07,251.94151,252.17,51.99175,252.46001
532,2021-05-10,250.9892,250.52666,44.77757,247.17999
531,2021-05-11,250.03736,249.60111,43.6052,246.23
530,2021-05-12,247.82989,248.1,35.90127,239.0
529,2021-05-13,246.86991,247.08333,42.04736,243.03
528,2021-05-14,247.12593,246.67111,48.76841,248.14999
527,2021-05-17,246.73674,246.38111,45.47385,245.17999
526,2021-05-18,246.00539,246.00444,43.2491,243.08
525,2021-05-19,245.42831,245.27,43.30599,243.12
524,2021-05-20,245.63865,244.60555,48.0202,246.48
523,2021-05-21,245.54492,244.38222,46.40023,245.17
522,2021-05-24,246.59194,244.88777,53.61668,250.78
521,2021-05-25,247.61755,246.30111,54.71682,251.72
520,2021-05-26,248.39204,247.24111,54.37698,251.49001
519,2021-05-27,248.57563,247.37,51.13509,249.31
518,2021-05-28,248.7965,247.87,51.66183,249.67999
517,2021-06-01,248.5172,248.35,48.21289,247.39999
516,2021-06-02,248.27376,248.81444,48.06135,247.3
515,2021-06-03,247.76101,248.72889,45.6066,245.71001
514,2021-06-04,248.36681,249.35333,53.73675,250.78999
513,2021-06-07,249.45545,249.69,57.77719,253.81
512,2021-06-08,250.07836,249.78444,55.62892,252.57001
511,2021-06-09,250.78069,250.01778,57.0438,253.59
